"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout","Sessions that completed checkout"
"Product","/products/surah-fath-verse-1-metal-islamic-wall-art",209,230,6,4,3
"Product","/products/dua-for-rizq-metal",139,148,6,3,0
"Product","/products/islamic-wedding-sign-elegant-nikkah-mirror-art",168,186,6,5,1
"Product","/products/surah-al-fatiha-islamic-wall-art-kufic",149,171,6,4,0
"Product","/products/set-of-surah-al-falaq-surah-al-nas-metal-islamic-wall-art",200,206,6,6,1
"Product","/products/heaven-lies-under-the-feet-of-mothers-hadith-islamic-metal-wall-art",118,126,6,2,0
"Product","/products/mihrab-wooden-muslim-home-decor-prayer-room-ideas-islamic-wall-art",579,588,6,3,0
,"/en-sa/products/dua-for-barakah-metal-islamic-wall-art-1",80,90,6,0,0
,"/en-sa/products/metal-mehrab-islamic-wall-art-set",217,232,6,1,0
,"/en-sa/products/kaaba-gate-islamic-wall-art-canvas-printing",48,64,6,5,0
"Product","/products/floral-asma-ul-husna-muslim-jewelry",139,153,6,4,1
"Product","/products/prayer-rug-islamic-red-floral-patterns-prayer-carpet-for-muslims",236,259,6,1,0
"Product","/products/wudu-step-by-step-on-aycrlic-descriptive-model-islamic-home-decor-for-kids",113,119,6,5,1
,"/en-sa/products/ayatul-kursi-tulip-muslim-jewelry",31,37,6,4,0
"Product","/products/ramadan-calendar-with-mihrab-design-double-layer-metal-islamic-table-decor",153,174,6,3,0
"Product","/products/whirling-darwish-muslim-jewelry",129,135,6,3,1
"Product","/products/islamic-necklace-ayatul-kursi-calligraphy",72,79,6,5,1
"Product","/products/basmala-shiny-metal-arabic-calligraphy-islamic-table-decor",106,112,6,2,0
"Product","/products/surah-rahman-verse-13-tempered-glass-islamic-wall-art-vertical-home-decor",95,111,6,4,2
,"/en-sa/products/ayatul-kursi-calligraphy-islamic-wall-art-gold",56,65,6,2,0
,"/en-sa/products/ayatul-kursi-calligraphy-metal-wall-art-decor",69,85,6,5,1
"Product","/products/prayer-room-decor-wooden-mihrab-geometric-design-islamic-home-arts",712,728,6,3,0
"Product","/products/names-of-allah-in-floral-fabric-design-led-lightbox-islamic-wall-art",82,92,5,1,0
"Product","/products/islamic-necklace-allahu-akbar",143,147,5,4,0
"Product","/products/eid-mubarak-islamic-gift-ramadan-decoration-wooden-islamic-table-decor",211,213,5,2,0
"Product","/products/prayer-bead-muslim-jade-green-elegant-islamic-tasbih",92,100,5,2,1
"Product","/products/bismillah-tempered-glass-islamic-wall-art-decor-vertical",224,232,5,0,0
,"/en-sa/products/special-islamic-gift-ramadan-decor-islamic-tabletop-art",41,42,5,4,1
,"/en-sa/products/zulfiqar-sword-necklace",62,75,5,3,1
,"/en-sa/products/rising-star-ramadan-decor-metal-islamic-home-decoration",67,77,5,3,1
,"/en-sa/products/wooden-mihrab-islamic-wall-art-set",106,115,5,2,1
"Product","/products/first-kalima-framed",180,211,5,1,0
"Product","/products/ayatul-kursi-diwani-khatt-tempered-glass-islamic-wall-art-decor",158,169,5,2,1
"Product","/products/islamic-wall-art-canvas-printing-masjid-an-nabawis-gate",124,136,5,3,0
"Product","/products/second-kalima-islamic-wall-art-metal",80,83,5,0,0
"Product","/products/islamic-gift-ramadan-mubarak-table-decor",286,291,5,1,0
"Product","/products/muslim-prayer-rug-green-pink-floral-style-islamic-praying-rug",60,72,5,3,1
"Product","/products/al-hayy-al-qayyum-islamic-wall-art-canvas-printing",81,88,5,3,2
"Product","/products/modern-islamic-gift-al-asmaul-husna-islamic-wall-art-canvas-printing",125,129,5,1,0
"Product","/products/turkiye-wooden-wall-map-islamic-wall-art-decor",307,324,5,3,1
"Product","/products/prayer-room-decor-wooden-mihrab-islamic-wall-art-6-pointed-star-motif",565,574,5,3,2
,"/en-sa/products/set-of-ayatul-kursi-surah-al-falaq-and-surah-an-nas-wooden-islamic-wall-decor",27,39,5,3,0
"Product","/products/kalimatu-shahada-tempered-glass-decor-islamic-wall-art",267,279,5,0,0
"Product","/products/surah-rahman-framed",194,207,5,3,0
"Product","/products/the-excellence-of-the-four-statements-dhikr-set-wooden-islamic-wall-art",96,126,5,5,1
"Product","/products/surah-fatiha-verse-1-islamic-black-metal-wall-art",173,185,5,1,1
"Product","/products/ayatul-kursi-calligraphy-islamic-wall-art-black-wooden",149,159,5,3,1
"Product","/products/surah-al-ikhlas-shiny-islamic-wall-art-silver",48,57,5,2,0
"Product","/products/islamic-necklace-mashallah",223,243,5,3,1
"Product","/products/surah-ikhlas-kufic-metal-islamic-wall-art",131,141,5,5,4
,"/en-sa/products/hasbunallahu-wa-nimal-wakeel-metal-islamic-wall-art",106,112,5,4,0
,"/en-sa/products/islamic-wall-clock-surah-al-ikhlas-shiny-metal",37,39,5,5,0
"Product","/products/surah-an-nur-verse-35-islamic-wall-art-metal",203,213,5,3,2
"Product","/products/ayatul-kursi-calligraphy-canvas-modern-islamic-wall-art-in-green-tones",145,153,5,1,1
"Product","/products/set-of-4-subhanallah-alhamdulillah-allahu-akbar-la-ilaha-illallah-colorful-islamic-wall-art-on-tempered-glass",19,23,5,1,1
"Product","/products/azerbaijan-wooden-wall-map-islamic-wall-art-decor",311,316,5,0,0
"Product","/products/set-of-ayatul-kursi-surah-al-falaq-surah-an-nas-shiny-metal-copper-islamic-wall-art",95,113,5,3,1
"Product","/products/canvas-printing-islamic-wall-art-kaaba-gate",259,276,5,2,2
"Product","/products/ramadan-calendar-islamic-gift-ramadan-table-decor-masjid-al-aqsa",234,238,5,1,0
"Product","/products/ikra-bookend-latin-calligraphy-islamic-home-decor",115,120,5,1,0
"Product","/products/allah-swt-and-mohammad-pbuh-islamic-wall-art-decor-circle-design",259,261,5,3,2
,"/en-sa/products/set-of-ayatul-kursi-surah-al-falaq-surah-an-nas-wood-islamic-wall-art",32,34,5,1,0
"Product","/products/set-of-basmala-allah-swt-prophet-muhammad-pbuh-islamic-wall-art",181,187,5,0,0
"Product","/products/islamic-prayer-beads-natural-flower-amazonite-stone-beads-dhikr-misbaha",41,42,5,3,3
"Product","/products/islamic-calligraphic-artwork-islamic-wall-art-canvas-printing",190,200,5,2,0
"Product","/products/basmala-modern-calligraphy-canvas-printing-islamic-wall-art",232,245,5,0,0
"Product","/products/ramadan-gift-set-prayer-rug-quran-jewelry",197,202,5,3,0
"Product","/products/the-noble-hilya-sharif-hafiz-osman-design-2-islamic-wall-art",126,130,5,5,0
"Product","/products/set-of-ayatul-kursi-and-allahumma-salli-barik-dua-matte-metal-islamic-wall-art",1431,1437,5,2,1
"Product","/products/palestine-flag-table-top-metal",236,244,5,1,0
"Product","/products/allah-and-mohammad-bookend-islamic-home-decor",362,373,5,2,2
"Product","/products/ya-malik-ul-mulk-islamic-wall-art-metal",354,417,5,3,1
"Product","/products/ramadan-mubarak-islamic-gift-hagia-sophia-mosque-islamic-table-art",233,239,5,1,0
,"/en-sa/products/surah-rahman-verse-13-tempered-glass-islamic-wall-art",62,70,5,2,0
"Product","/products/99-names-of-allah-wall-clock",148,188,5,5,3
"Product","/products/assalamualaikum-wa-rahmatullahi-wa-barakatuh-tempered-glass-islamic-wall-art",183,187,5,5,0
"Product","/products/mashallah-hasbiyallah-astagfirullah-wooden-acrylic-set-decor",224,241,5,2,0
,"/en-sa/products/lebanon-wooden-wall-map",55,60,5,4,1
,"/en-sa/products/ikra-bookend-arabic-calligraphy-islamic-home-decor",60,69,5,3,1
,"/en-sa/products/surah-rahman-13-mihrab-metal-islamic-wall-art",166,171,5,2,1
"Product","/products/hasbunallahu-wa-nimal-wakil-islamic-wall-art-canvas-printing",194,202,5,1,0
"Product","/products/allah-calligraphy-tempered-glass-islamic-wall-art-decor",173,203,5,1,0
"Product","/products/islamic-wall-art-whirling-dervish-islamic-modern-canvas-printing",191,199,5,3,1
"Product","/products/bismillah-islamic-wall-art-basmala",164,172,4,1,0
"Product","/products/asmaul-husna-calligraphy-islamic-canvas-wall-art-printing",71,77,4,3,1
"Product","/products/islamic-wall-art-as-salamu-alaykum",249,266,4,1,1
"Product","/products/kaaba-al-hajar-al-aswad-islamic-wall-art-canvas-printing",272,287,4,2,1
"Product","/products/ayatul-kursi-drop-design-tempered-glass-islamic-wall-art-decor",136,137,4,2,0
"Product","/products/verse-8-of-surah-nebe-tempered-glass-decor-islamic-wall-art",140,144,4,0,0
"Product","/products/kun-faya-kun-wooden-acrylic-islamic-wall-art-decor",195,206,4,1,0
,"/en-sa/products/set-of-ayatul-kursi-surah-ikhlas-surah-al-falaq-and-nas-wooden-islamic-wall-art",86,89,4,2,0
"Product","/products/islamic-gift-ramadan-kareem-decor",667,683,4,1,0
"Product","/products/wooden-mihrab-prayer-room-decor-spiritual-islamic-wall-arts-for-home",590,608,4,2,1
"Product","/products/ahlan-wa-sahlan-metal-islamic-wall-art",115,125,4,2,2
"Product","/products/ayatul-kursi-circular-wall-art",85,103,4,3,2
"Product","/products/masjid-al-haram-masjid-al-nabawi-woodan-map-islamic-wall-art",57,74,4,1,0
"Product","/products/99-names-of-allah-multicolored-islamic-wall-art-led-remote-controlled",50,54,4,1,0
"Product","/products/canvas-painting-islamic-wall-art-masjid-al-aqsa-the-dome-of-the-rock",197,209,4,2,0
"Product","/products/kufic-surah-al-falaq-surah-an-nas-islamic-wooden-wall-art-decor",75,78,4,2,1
"Product","/products/muslim-carpet-praying-red-black-classic-floral-islamic-prayer-rug",87,91,4,3,0
"Product","/products/muslim-prayer-beads-hematite-stone-beads-islamic-rosary",63,79,4,2,2
"Product","/products/ramadan-kareem-islamic-gift-masjid-al-aqsa-wooden-islamic-table-decor",82,84,4,4,2
"Product","/products/al-asmaul-husna-modern-islamic-canvas-printing",64,67,4,2,1
,"/en-sa/products/set-of-ayatul-kursi-surah-al-falaq-surah-an-nas-shiny-metal-islamic-wall-art",65,74,4,0,0
"Product","/products/euzu-basmala-metal-islamic-wall-art-islamic-calligraphy-home-decors",77,97,4,2,0
"Product","/products/ayatul-kursi-calligraphy-islamic-wall-art-tezhip",147,167,4,2,0
"Product","/products/subhanallah-alhamdulillah-allahu-akbar-la-ilaha-illallah-glass-islamic-wall-art-set",78,89,4,3,2
"Product","/products/home-mihrab-ideas-wooden-islamic-wall-art-elegant-prayer-room-decor",596,601,4,3,2
"Product","/products/islamic-wooden-mihrab-decor-prayer-room-ideas-12-pointed-star-motif",200,210,4,0,0
"Product","/products/nalain-shareef-islamic-metal-wall-art",175,180,4,3,0
"Product","/products/islamic-prayer-rugs-blue-green-tile-patterns-ideal-for-muslim-prayers-soft-acrylic-fabric",147,155,4,3,2
"Product","/products/wedding-welcome-sign-custom-surah-nebe-ayat-8-glass-black",94,94,4,1,0
"Product","/products/ayatul-kursi-calligraphy-pink-gold-tempered-glass-islamic-wall-art",147,152,4,1,0
"Product","/products/first-kalima-english-metal-islamic-wall-art",85,91,4,0,0
"Product","/products/surah-ibrahim-verse-7-islamic-calligraphy-decor-metal-islamic-wall-art",100,110,4,4,3
"Product","/products/subhanallah-arabic-calligraphy-islamic-tabletop-art-decor",297,308,4,2,0
"Product","/products/muslim-praying-rug-black-floral-patterns-prayer-carpet-for-muslims",149,167,4,3,3
,"/en-sa/products/hadha-min-fadli-metal-islamic-wall-art",68,75,4,0,0
"Product","/products/muslim-prayer-beads-dark-brown-kuka-wood-beads",128,134,4,1,1
,"/en-sa/products/set-of-glass-ayatul-kursi-surah-al-ikhlas-al-falaq-an-nas-tempered-glass-islamic-wall-art",102,107,4,1,0
"Product","/products/palestine-map-necklace/",47,49,4,2,0
,"/en-sa/products/islamic-canvas-wall-art-masjid-al-aqsa-historical-sketch-dome-of-the-rock",32,34,4,1,0
,"/en-sa/products/wooden-world-map",71,92,4,2,1
,"/en-sa/products/seal-of-prophet-muhammad-muslim-jewelry",21,21,4,1,0
"Product","/products/surah-baqarah-verse-152-shukr-and-dhikr-dua-metal-islamic-wall-art",178,191,4,5,3
"Product","/products/seven-sleepers-printing-on-tempered-glass-islamic-wall-decor",71,78,4,0,0
,"/en-sa/products/dua-of-prophet-yunus-with-translation-islamic-wall-art-glass-blue",140,154,4,0,0
"Product","/products/ramadan-bundle-set-1",44,45,4,1,0
"Product","/products/second-kalima-islamic-calligraphy-wall-art-circular-metal-wall-decor",67,69,4,1,1
"Product","/products/surah-fatiha-ayatul-kursi-set-drop-design-metal-islamic-wall-art/",35,39,4,4,1
,"/en-sa/products/kufic-surah-al-ikhlas-an-nas-al-falaq-al-kafirun-islamic-wall-art",23,27,4,2,0
"Product","/products/masjid-al-aqsa-the-dome-of-the-rock-islamic-decor-canvas-printing",126,131,4,1,1
"Product","/products/surah-al-anam-verse-162-metal-islamic-wall-decor-arabic-calligraphy-art",42,71,4,2,1
"Product","/products/islamic-necklace-hasbiyallah",93,98,4,2,1
,"/en-sa/products/palestine-wooden-wall-map-islamic-wall-art-decor",86,89,3,1,0
,"/en-sa/products/palestine-jewelry",31,31,3,2,0
"Product","/products/islamic-gift-ramadan-calendar-metal-acrylic-table-decor",179,183,3,2,1
"Product","/products/surah-al-furqan-1st-verse-islamic-wall-decor-canvas-printing",113,133,3,1,0
,"/en-sa/products/masjid-an-nabawis-gate-islamic-wall-art-canvas-printing",16,16,3,1,0
"Product","/products/home-prayer-niche-interior-mihrab-islamic-gift-8-pointed-star-motif",519,523,3,0,0
"Product","/products/surah-al-araf-verse-31-tempered-glass-islamic-wall-art",114,122,3,2,0
"Product","/products/wedding-welcome-sign-custom-glass-maroon-surah-nebe-ayat-8",92,95,3,1,0
"Product","/products/kiswa-ya-hayyu-ya-qayyum-ya-rahman-ya-raheem-wooden-islamic-wall-art",78,84,3,1,0
"Product","/products/muslim-praying-beads-black-obsidian-stone-beads-islamic-rosary",113,116,3,5,1
"Product","/products/mashallah-la-quwwata-illa-bi-llahi-on-tempered-glass-islamic-wall-art",68,70,3,2,1
"Product","/products/whirling-dervish-canvas-printing-islamic-wall-decor",71,73,3,0,0
,"/en-sa/products/ayatul-kursi-calligraphy-islamic-wall-art-wood",28,30,3,1,0
"Product","/products/wooden-key-holder-bismillah-arabic-calligraphy",105,136,3,1,0
"Product","/products/muslim-praying-rug-black-red-classic-medallion-islamic-prayer-carpet",42,49,3,0,0
,"/en-sa/products/kun-fa-ya-kun-islamic-wall-art-metal",20,20,3,1,1
"Product","/products/islamic-prayer-rug-beige",124,139,3,2,1
"Product","/products/ramadan-dining-set-noor-heritage-ornamental-border-for-6-persons-24-piece-set",28,30,3,0,0
"Product","/products/wedding-welcome-sign-custom-glass-red-surah-nebe-ayat-8",49,53,3,3,1
"Product","/products/canvas-printing-whirling-dervish-islamic-wall-art",66,66,3,0,0
"Product","/products/thuluth-calligraphy-of-asma-ul-husna-premium-wooden-islamic-wall-decor",54,57,3,1,0
"Product","/products/nikkah-welcome-sign-glass-wedding-sign-surah-nebe-8",203,206,3,0,0
"Product","/products/first-kalima-islamic-wall-art-black",180,201,3,2,1
"Product","/products/nalayn-wooden-acrylic-islamic-wall-art-decor",159,166,3,1,0
"Product","/products/set-of-ayatul-kursi-and-allahumma-salli-barik-dua-shiny-metal-islamic-wall-art",151,166,3,1,1
"Product","/products/bismillah-key-holder-metal-islamic-wall-art-decor",129,187,3,1,0
"Product","/products/surah-ikhlas-metal-islamic-wall-art-elegant-arabic-calligraphy-decor",199,208,3,1,1
"Product","/products/surah-ibrahim-ayat-7",97,100,3,2,2
"Product","/products/kalimatu-shahada-bicolor-calligraphy-tempered-glass-wall-art-decor",60,65,3,1,0
"Product","/products/custom-payment-link-for-rizwan",7,8,3,3,2
"Product","/products/islamic-prayer-rugs-aqua-beige-ornate-design-muslim-carpet-praying",66,72,3,4,2
"Product","/products/dua-for-protection-from-evil-metal",100,106,3,2,0
"Product","/products/set-of-ayatul-kursi-surah-al-falaq-and-surah-an-nas-wooden-islamic-wall-decor/",27,31,3,0,0
"Product","/products/islamic-necklace-dua",98,101,3,2,0
"Product","/products/islamic-wall-art-as-salamu-alaykum-metal",561,576,3,2,0
"Product","/products/islamic-canvas-printing-whirling-dervish",56,58,3,2,2
"Product","/products/shahada-second-kalima-on-tempered-glass-islamic-calligraphy-wall-decor",97,110,3,2,1
,"/en-sa/products/set-of-allah-swt-and-mohammad-pbuh-wooden-islamic-wall-art",30,32,3,1,0
"Product","/products/darood-sharif-art-allahumma-salli-and-barik-matte-metal-islamic-wall-art",73,80,3,2,1
,"/en-sa/products/set-of-ayatul-kursi-surah-al-falaq-surah-an-nas-shiny-metal-gold-islamic-wall-art",20,25,3,2,0
"Product","/products/surah-tawbah-verse-40-la-tahzen-innallahe-meana-home-decor-metal-islamic-wall-art",85,103,3,1,0
"Product","/products/first-kalima-kufic-circle-metal-clock-islamic-wall-art",103,115,3,2,0
"Product","/products/surah-falaq-islamic-wall-art-gold",77,80,3,3,0
"Product","/products/mashallah-wooden-acrylic-islamic-wall-art-modern-decor",57,58,3,2,0
"Product","/products/ayatul-kursi-islamic-wall-decor-canvas-printing",119,125,3,0,0
"Product","/products/custom-payment-link-for-tabletop",10,12,3,2,0
"Product","/products/la-ghaliba-illallah-there-is-no-winner-but-allah-metal-islamic-wall-art",1083,1144,3,1,1
,"/en-sa/products/whirling-dervish-wooden-islamic-wall-art-decor",7,10,3,1,0
"Product","/products/dua-for-entering-home-arabic-calligraphy-decor-islamic-wall-art",191,191,3,2,0
,"/en-sa/products/islamic-key-holder-tabletop-decor-dua-when-entering-home-and-leaving-home",18,19,3,2,1
,"/en-sa/products/ayatul-kursi-wood-key-holder",23,25,3,1,0
"Product","/products/islamic-wall-art-ayatul-kursi-calligraphy-modern-wall-art-canvas-printing",131,132,3,0,0
"Product","/products/4-qul-kufic-muslim-jewelry",95,105,3,0,0
,"/en-sa/products/ayatul-kursi-calligraphy-large-metal-wall-art",50,54,3,1,0
"Product","/products/eid-mubarak-islamic-table-decor-perfect-gift",58,58,3,3,0
"Product","/products/kalima-shahadat-metal-islamic-wall-decor-second-kalima-islamic-calligraphy-art",93,103,3,0,0
"Product","/products/whirling-dervish-islamic-gift-canvas-printing-islamic-wall-art",57,63,3,1,0
,"/en-sa/products/palestine-gold-necklace",21,21,3,2,0
"Product","/products/custom-payment-link-mohammad-salawat",15,16,3,4,2
"Product","/products/islamic-necklace-astaghfirullah",106,113,3,2,1
"Product","/products/ayatul-kursi-shiny-metal",58,65,3,2,1
"Product","/products/astaghfirullah-shiny-metal-arabic-calligraphy-islamic-table-decor",307,310,3,1,1
"Product","/products/whirling-dervish-islamic-wall-decor-canvas-printing",97,103,3,0,0
"Product","/products/surah-al-nas-reproduction-islamic-wall-decor-canvas-printing",74,78,3,0,0
"Product","/products/ramadan-kareem-islamic-gift-lunate-islamic-wall-art",178,182,3,2,1
"Product","/products/subhanallah-alhamdulillah-allahuakbar-with-latin-islamic-wall-art",76,84,3,1,1
,"/en-sa/products/palestine-necklace",14,14,3,3,0
,"/en-sa/products/set-of-ayatul-kursi-surah-al-falaq-surah-an-nas-metal-islamic-wall-art",33,36,3,1,0
"Product","/products/islamic-gift-eid-mubarak-hagia-sophia-mosque-table-art",84,86,3,1,1
"Product","/products/al-asmaul-husna-islamic-canvas-printing-wall-decor",109,112,3,0,0
"Product","/products/masjid-al-aqsa-led-lighted-islamic-wall-art-remote-controlled",29,33,3,1,1
"Product","/products/kaaba-modern-gift-islamic-wall-art-canvas-printing",74,76,3,1,0
"Product","/products/ramadan-calendar-with-family-name-customization-perpetual-calendar-metal-islamic-table-decor",63,63,3,0,0
"Product","/products/al-asmaul-husna-islamic-gift-canvas-printing-wall-decor",67,68,3,0,0
"Product","/products/custom-payment-link-abdallah",6,6,3,3,3
"Product","/products/ramadan-mubarak-circular-plexi-napkin-holder-iftar-eid-table-decor",189,190,3,1,0
"Product","/products/ramadan-bundle-set-3",49,53,3,2,0
"Product","/products/custom-payment-link-for-paula",4,4,3,3,2
"Product","/products/subhanallah-alhamdulillah-allahuakbar-metal-islamic-wall-decor-kufic",69,80,3,1,0
"Product","/products/islamic-calligraphy-surah-al-fatihah-canvas-printing",79,81,3,1,0
"Product","/products/islamic-prayer-beads-aqua-blue-marbled-agate-stone",59,65,3,2,1
,"/en-sa/products/ramadan-kareem-eid-dinner-decor-table-setting",23,24,3,0,0
"Product","/products/eid-mubarak-metallic-islamic-table-decor-perfect-gift",806,849,3,2,0
"Product","/products/praying-rug-islam-white-navy-floral-patterns-islamic-prayer-mat",37,38,3,2,1
,"/en-sa/products/al-asma-ul-husna-metal-wall-art-uv-printed",287,337,3,1,0
"Product","/products/islamic-prayer-rug-blue-beige-floral-motifs-janamaz-soft-acrylic-fabric",71,76,3,1,1
"Product","/products/wedding-sign-tempered-glass-decor-islamic-wall-art-surah-nebe-verse-8",142,142,3,0,0
"Product","/products/ayatul-kursi-islamic-candle-holder-muslim-home-decor-line-by-line-design",40,42,3,1,0
"Product","/products/customizable-hajj-mabroor-tabletop-decor-personalize-with-text-photo",47,48,3,2,1
"Product","/products/muslim-praying-beads-purple-amethyst-stone",86,90,3,0,0
"Product","/products/wood-key-holder-personalized-family-sign",70,71,3,1,0
"Product","/products/surah-falaq-islamic-wall-art-metal",68,71,3,0,0
"Product","/products/masjid-an-nabawi-canvas-islamic-wall-art-led-lighted",74,78,3,2,1
"Product","/products/calligraphy-ayatul-kursi-islamic-canvas-printing",241,261,3,2,0
,"/en-sa/products/whirling-dervish-islamic-canvas-printing-islamic-wall-art",28,28,3,1,0
"Product","/products/step-by-step-ghusl-guide-educational-decorative-acrylic-art",74,77,3,2,0
"Product","/products/six-supplications-of-allah-dhikr-decor-on-tempered-glass-islamic-wall-art",264,279,3,2,1
"Product","/products/prophet-muhammad-the-noble-hilya-sharif-hasan-riza-tempered-glass-islamic-wall-art",275,278,3,3,1
"Product","/products/surah-al-falaq-and-surah-al-nas-shiny-copper-metal-islamic-wall-art",77,78,3,0,0
"Product","/products/basmala-modern-islamic-calligraphy-wall-decor-canvas-printing",93,97,3,0,0
"Product","/products/wooden-interior-mihrab-for-prayer-room-islamic-home-decor-12-pointed-star",538,544,3,1,1
"Product","/products/allah-swt-muhammad-pbuh-wooden-acrylic-islamic-wall-art-heart-shaped",57,64,3,3,1
"Product","/products/bismillah-wall-art-framed",83,87,3,2,0
"Product","/products/4-qul-kufic-square-muslim-jewelry-square",90,92,3,3,0
,"/en-sa/products/whirling-darwish-hand-painted-islamic-iznik-tile-wall-art",31,34,2,0,0
"Product","/products/surah-al-falaq-kufic-calligraphy-art-horizontal-metal-islamic-home-decor",90,91,2,0,0
"Product","/products/surah-baqarah-152th-verse-islamic-metal-wall-art",285,301,2,0,0
"Product","/products/geometric-design-mihrab-wooden-islamic-wall-art-prayer-room-accent",631,632,2,3,1
"Product","/products/custom-payment-link-for-qasim-limbada-clock",14,16,2,1,0
"Product","/products/kaaba-historical-islamic-wall-art-canvas-printing",81,86,2,0,0
"Product","/products/custom-payment-link-for-fozia",2,2,2,2,2
"Product","/products/custom-payment-link-for-drop-shaped-set",8,8,2,2,1
"Product","/products/islamic-wall-art-kaaba-canvas-printing",155,161,2,1,0
,"/en-sa/products/small-muslim-gifts-islamic-necklace-nalain-sharif",12,14,2,2,0
"Product","/products/canvas-painting-islamic-wall-art-ayatul-kursi-islamic-printing",182,188,2,1,0
"Product","/products/ayatul-kursi-diwani-calligraphy-matte-metal-islamic-wall-art-decor",55,64,2,1,0
"Product","/products/ayatul-kursi-wooden",62,65,2,0,0
"Product","/products/islamic-canvas-wall-art-whirling-dervish-islamic-canvas-printing",79,80,2,1,1
"Product","/products/portable-modular-wooden-islamic-minbar-ideal-for-small-prayer-spaces",253,276,2,1,0
,"/en-sa/products/kiswa-of-kaaba-gate-islamic-gift",125,128,2,1,0
"Product","/products/wedding-sign-glass-islamic-decor-surah-rum-21-surah-nebe-8",136,142,2,0,0
,"/en-sa/products/vertical-design-surah-rahman-fabi-ayyi-ala-i-rabbikuma-tukazziban-powder-painted-metal-islamic-wall-art",13,18,2,0,0
"Product","/products/bismillahirrahmanirrahim-wall-art-framed",108,135,2,2,0
,"/en-sa/products/ayatul-kursi-calligraphy-black-metal-wall-art",9,10,2,1,0
"Product","/products/ramadan-gift-box-rug-asma-ul-husna-jewelry",101,104,2,0,0
"Product","/products/bismillah-al-rahman-al-raheem-napkin-holder-circular-islamic-table-decor",267,269,2,1,0
"Product","/products/custom-order-payment-link-for-amar",3,3,2,1,1
"Product","/products/custom-payment-link-for-sana",2,2,2,2,2
"Product","/products/how-i-pray-for-kids-islamic-play-art-decor-help-kids-love-salah",232,239,2,1,0
,"/en-sa/products/mashallah-tulip-shape-tempered-glass-islamic-wall-art-decor",19,19,2,0,0
"Product","/products/99-names-of-allah-islamic-wall-art",199,211,2,2,1
"Product","/products/ramadan-eid-gift-set-rug-ayatul-kursi",91,98,2,1,0
"Product","/products/custom-payment-link-for-4-quls-black",1,5,2,2,0
"Product","/products/99-names-of-allah-wooden-wall-art-modern-kufic-style",113,170,2,1,0
"Product","/products/islamic-gift-ramadan-kareem-calligraphy-tabletop-decor",107,110,2,1,1
"Product","/products/wooden-key-holder-for-wall-bismillah-calligraphy",59,68,2,1,1
"Product","/products/ramadan-bundle-set-2",30,30,2,0,0
,"/en-sa/products/kaaba-islamic-wall-art-canvas-printing",82,87,2,1,0
"Product","/products/masjid-al-aqsa-led-lighted-fabric-painting-islamic-wall-art-for-muslim-homes",80,87,2,0,0
,"/en-sa/products/ayatul-kursi-multicolor-print-on-tempered-glass-islamic-wall-art",75,78,2,0,0
"Product","/products/dua-hasbunallah-decor-metal-islamic-wall-art",77,84,2,2,0
"Product","/products/ramadan-gift-set-rug-pendant-quran-calligraphy",117,124,2,0,0
"Product","/products/custom-order-payment-link-for-zainab",3,3,2,2,1
"Product","/products/salawat-on-prophet-muhammad-rasulullah-salawat-al-ummi-metal-islamic-wall-art",65,71,2,1,1
"Product","/products/custom-order-payment-link-for-lmhomad",2,3,2,3,2
"Product","/products/islamic-wall-art-canvas-painting-prints-allahumma-salli-allahumma-barik-dua",102,106,2,0,0
"Product","/products/muslim-prayer-beads-round-black-onyx-beads-islamic-rosary",57,59,2,2,1
"Product","/products/bismillah-islamic-tempered-glass-wall-decor-arabic-calligraphy-copy",87,89,2,0,0
"Product","/products/kaaba-modern-islamic-gift-canvas-printing",131,139,2,1,0
,"/en-sa/products/al-asmaul-husna-islamic-wall-art-canvas-printing",37,45,2,1,0
"Product","/products/custom-order-link-for-falaq-nas-set-and-basmala",2,4,2,2,1
"Product","/products/surah-al-kafirun-and-al-ikhlas-islamic-wall-art-canvas-printing",51,52,2,1,0
"Product","/products/islamic-rosary-aventurine-quartz-prayer-beads-tasbeeh",37,39,2,1,0
"Product","/products/islamic-wood-wall-art-ahl-al-bayt",54,55,2,2,0
"Product","/products/4quls-falaq-nas-ikhlas-kafirun-islamic-wall-art-canvas-printing",79,87,2,2,0
"Product","/products/canvas-printing-whirling-dervish-modern-islamic-gift",89,89,2,1,0
,"/en-sa/products/dua-for-entering-home-islamic-metal-wall-art",31,34,2,2,1
"Product","/products/surah-al-fath-verse-1-arabic-calligraphy-decor-metal-islamic-wall-art",114,120,2,2,2
"Product","/products/islamic-prayer-beads-pink-quartz-beads-islamic-rosary",46,52,2,0,0
"Product","/products/masjid-al-haram-kaaba-bayt-allah-islamic-wall-art-led-lighted-remote-controlled",42,42,2,0,0
"Product","/products/islamic-wall-art-ayatul-kursi-modern-gift-canvas-printing",50,50,2,2,0
,"/en-sa/products/masjid-al-aqsa-masjid-al-haram-masjid-an-nabawi-islamic-wall-art-circular-design",13,15,2,2,1
"Product","/products/kufic-asmaul-husna-in-allah-islamic-wall-art",94,103,2,0,0
,"/en-sa/products/surah-ad-duha-ayat-5-metal-islamic-wall-art",14,21,2,1,0
"Product","/products/surah-ar-rum-verse-21-arabic-calligraphy-meatl-wall-art",178,186,2,1,0
