"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout","Sessions that completed checkout"
"Product","/products/islamic-wall-clock-surah-al-ikhlas-shiny-metal",2179,2492,148,65,16
"Product","/products/kaaba-islamic-wall-art-canvas-printing",3579,4001,147,53,16
"Product","/products/bismillah-date-holder-set-wiht-mihrab-motif-ramadan-table-decor",969,1090,144,66,24
"Product","/products/surah-al-ikhlas-metal-clock-islamic-wall-art-latin-numbers",1823,2121,143,31,10
"Product","/products/ayatul-kursi-tulip-muslim-jewelry",1327,1449,127,50,9
"Product","/products/kufic-first-kalima-metal-clock-islamic-wall-art",2105,2412,126,38,13
"Product","/products/ayatul-kursi-calligraphy-matte-metal-wall-art",1114,1349,124,64,20
"Product","/products/prayer-bead-muslim-blue-crack-agate-stone",1591,1755,122,74,34
"Product","/products/lebanon-wooden-wall-map",2799,3036,120,43,19
"Product","/products/hadha-min-fadli-metal-islamic-wall-art",2054,2203,119,46,11
"Product","/products/kiswa-of-kaaba-gate-islamic-gift",3753,3935,114,40,8
"Product","/products/bismillah-key-holder-latin-calligraphy-islamic-wall-art-decor",1303,1450,108,26,12
"Product","/products/ayatul-kursi-calligraphy-islamic-wall-art-set",1417,1738,108,38,8
"Product","/products/kaaba-gate-islamic-wall-art-canvas-printing",1599,1860,104,29,9
"Product","/products/ayatul-kursi-multicolor-print-on-tempered-glass-islamic-wall-art",2164,2410,103,23,11
"Product","/products/ramadan-kareem-eid-dinner-decor-table-setting",1014,1074,102,35,9
"Product","/products/ayatul-kursi-calligraphy-black-metal-wall-art",1307,1589,100,43,13
"Product","/products/surah-al-ikhlas-metal-clock-islamic-wall-art-black",1284,1425,98,57,26
"Product","/products/iftar-table-date-stands-bismillah-decor",543,639,98,57,23
"Product","/products/alhamdulillah-bismillah-mashallah-arabic-islamic-tabletop-art-decor",1231,1361,98,38,13
"Product","/products/set-of-ayatul-kursi-surah-al-falaq-surah-an-nas-shiny-metal-gold-islamic-wall-art",1268,1445,96,28,12
"Product","/products/islamic-art-ayatul-kursi-islamic-canvas-printing",1457,1663,95,23,4
"Product","/products/ramadan-dining-table-decor-golden-set-for-6-19-piece",977,1101,91,27,9
"Product","/products/dome-of-the-rock-sketch-masjid-al-aqsa-islamic-canvas-art",1681,1850,90,25,7
"Product","/products/allah-muhammad-islamic-wall-art-set",2584,2705,89,26,11
"Product","/products/islamic-wall-clock-ayatul-kursi-calligraphy",1394,1611,88,26,6
"Product","/products/99-names-of-allah",1669,1839,87,34,10
"Product","/products/bismillah-alhamdulillah-mashallah-latin-islamic-tabletop-art-decor",1194,1289,86,25,8
"Product","/products/protection-from-evil-eye-dua-muslim-jewelry",947,1065,84,41,16
"Product","/products/allah-swt-name-islamic-wall-clock-with-latin-numbers",968,1135,84,24,7
"Product","/products/dua-for-entering-home-islamic-glass-wall-art",1540,1718,82,31,7
"Product","/products/subhanallah-allahuakbar-alhamdulillah-wooden-islamic-wall-art-decor",972,1140,82,28,5
"Product","/products/islamic-wall-art-ayatul-kursi-islamic-canvas-printing",1514,1719,81,26,4
"Product","/products/allahu-akbar-islamic-wall-art-metal",852,1022,79,56,19
"Product","/products/mashallah-tulip-shape-tempered-glass-islamic-wall-art-decor",1048,1198,78,18,3
"Product","/products/first-kalima-islamic-wall-art-decor",825,950,77,41,10
"Product","/products/whirling-dervish-metal-islamic-wall-art",1013,1226,76,26,13
"Product","/products/islamic-canvas-wall-art-masjid-al-aqsa-historical-sketch-dome-of-the-rock",1518,1677,75,31,13
"Product","/products/al-asmaul-husna-canvas-printing-islamic-wall-art",1579,1734,74,21,5
"Product","/products/mashallah-islamic-wall-art-metal",947,1082,73,29,13
"Product","/products/whirling-dervish-islamic-canvas-printing-islamic-wall-art",794,906,73,15,7
"Product","/products/islamic-key-holder-tabletop-decor-dua-when-entering-home-and-leaving-home",662,754,73,32,7
"Product","/products/palestine-wall-map-uv-printed-metal-palestine-wall-art",3477,3843,73,24,6
"Product","/products/surah-al-fatihah-arabic-calligraphy-metal-clock-islamic-wall-decor",735,862,73,27,10
