"Order name","Product title","Product variant title","Gross sales","Quantity ordered"
"#34995","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Gold Mihrab and Gold Extras / Large",359,1
"#35622","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Gold Mihrab and Gold Extras / Large",359,1
"#34380","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Gold Mihrab and Gold Extras / Large",359,1
"#35058","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Gold Mihrab and Gold Extras / Large",359,1
"#37431","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Black Mihrab and Silver Extras / Large",359,1
"#36502","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Gold Mihrab and Gold Extras / Large",359,1
"#37427","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Gold Mihrab and Gold Extras / Large",359,1
"#34456","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Gold Mihrab and Gold Extras / Large",359,1
"#36836","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Gold Mihrab and Gold Extras / Large",359,1
"#35947","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Gold Mihrab and Gold Extras / Large",359,1
"#35520","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Gold Mihrab and Gold Extras / Large",359,1
"#35256","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Black Mihrab and Silver Extras / Large",359,1
"#35040","The Farewell Sermon Of Prophet Muhammad - Islamic Wall Art on Tempered Glass","21.7x27.6"" | 55x70 cm",355.62,2
"#34849","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Shiny Gold",354.48,1
"#35249","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Shiny Silver",354.42,1
"#34656","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Shiny Silver",354.35,1
"#34772","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Matte Gold",349.5,1
